Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Kaine Padly,50% Dark Bites,India,2023-12-12,12467.25,734,Delivered
Kelci Walkden,Peanut Butter Cubes,UK,2023-12-12,3881.25,169,Delivered
Jan Morforth,Spicy Special Slims,USA,2023-12-12,186.75,11,Delivered
Kelci Walkden,Fruit & Nut Bars,USA,2023-12-12,4891.5,189,Delivered
Husein Augar,Mint Chip Choco,UK,2023-12-12,4621.5,421,Delivered
Brien Boise,85% Dark Bars,Australia,2023-12-12,5967.0,260,Delivered
Madelene Upcott,Eclairs,USA,2023-12-12,5883.75,256,Delivered
Oby Sorrel,Organic Choco Syrup,UK,2023-12-12,9292.5,465,Delivered
Husein Augar,Choco Coated Almonds,Canada,2023-12-12,481.5,38,Delivered
Oby Sorrel,Smooth Silky Salty,USA,2023-12-12,12449.25,1557,Delivered
Husein Augar,85% Dark Bars,India,2023-12-12,16002.0,696,Delivered
Karlen McCaffrey,Manuka Honey Choco,USA,2023-12-13,14755.5,820,Delivered
Jehu Rudeforth,Smooth Silky Salty,Australia,2023-12-13,3701.25,371,Delivered
Beverie Moffet,Smooth Silky Salty,New Zealand,2023-12-13,603.0,87,Delivered
Camilla Castle,70% Dark Bites,UK,2023-12-13,12143.25,640,Delivered
Wilone O'Kielt,Mint Chip Choco,India,2023-12-13,3048.75,255,Delivered
Madelene Upcott,Almond Choco,UK,2023-12-13,9270.0,927,Delivered
Roddy Speechley,Smooth Silky Salty,UK,2023-12-14,4038.75,577,Delivered
Jehu Rudeforth,99% Dark & Pure,Australia,2023-12-14,6702.75,292,Cancelled
Brien Boise,70% Dark Bites,UK,2023-12-14,7778.25,487,Delivered
Beverie Moffet,Organic Choco Syrup,USA,2023-12-14,6401.25,321,Delivered
Van Tuxwell,85% Dark Bars,UK,2023-12-14,4351.5,198,Delivered
Husein Augar,Orange Choco,USA,2023-12-14,9272.25,843,Delivered
Brien Boise,99% Dark & Pure,UK,2023-12-14,663.75,31,Delivered
Beverie Moffet,Almond Choco,New Zealand,2023-12-14,792.0,72,Delivered
Oby Sorrel,Orange Choco,New Zealand,2023-12-14,2562.75,233,Delivered
Jehu Rudeforth,50% Dark Bites,Canada,2023-12-14,996.75,56,Delivered
Gigi Bohling,99% Dark & Pure,New Zealand,2023-12-15,1343.25,62,Delivered
Kelci Walkden,Orange Choco,UK,2023-12-15,10183.5,1455,Cancelled
Madelene Upcott,Peanut Butter Cubes,New Zealand,2023-12-15,6315.75,288,Delivered
Jehu Rudeforth,99% Dark & Pure,USA,2023-12-15,15558.75,708,Delivered
Dotty Strutley,Smooth Silky Salty,New Zealand,2023-12-15,8840.25,1106,Delivered
Husein Augar,Milk Bars,UK,2023-12-18,5100.75,256,Delivered
Dennison Crosswaite,Milk Bars,India,2023-12-18,5132.25,257,Delivered
Beverie Moffet,Eclairs,Canada,2023-12-18,8325.0,362,Delivered
Jan Morforth,Choco Coated Almonds,New Zealand,2023-12-18,470.25,32,Delivered
Kelci Walkden,85% Dark Bars,UK,2023-12-18,3296.25,144,Delivered
Gunar Cockshoot,Raspberry Choco,Canada,2023-12-18,7926.75,793,Delivered
Jan Morforth,Choco Coated Almonds,New Zealand,2023-12-18,19390.5,1386,Delivered
Jan Morforth,Peanut Butter Cubes,UK,2023-12-18,6016.5,262,Delivered
Ches Bonnell,Raspberry Choco,UK,2023-12-18,4025.25,576,Delivered
Madelene Upcott,50% Dark Bites,USA,2023-12-18,1788.75,82,Delivered
Ches Bonnell,Eclairs,USA,2023-12-18,6808.5,297,Delivered
Madelene Upcott,Mint Chip Choco,India,2023-12-18,5033.25,504,Delivered
Beverie Moffet,99% Dark & Pure,USA,2023-12-18,4155.75,198,Delivered
Barr Faughny,Smooth Silky Salty,Canada,2023-12-18,16454.25,1646,Delivered
Kelci Walkden,Mint Chip Choco,India,2023-12-18,1525.5,118,Delivered
Brien Boise,Manuka Honey Choco,UK,2023-12-18,3478.5,194,Delivered
Karlen McCaffrey,Eclairs,India,2023-12-18,3872.25,204,Delivered
Roddy Speechley,Mint Chip Choco,New Zealand,2023-12-18,7348.5,613,Cancelled
Roddy Speechley,Organic Choco Syrup,UK,2023-12-18,7463.25,325,Delivered
Andria Kimpton,Eclairs,India,2023-12-18,5472.0,249,Delivered
Kaine Padly,Smooth Silky Salty,USA,2023-12-18,2092.5,191,Delivered
Camilla Castle,Smooth Silky Salty,UK,2023-12-19,7312.5,665,Delivered
Gunar Cockshoot,Spicy Special Slims,USA,2023-12-19,12503.25,695,Delivered
Gigi Bohling,Spicy Special Slims,Australia,2023-12-19,726.75,37,Delivered
Husein Augar,99% Dark & Pure,India,2023-12-19,2659.5,140,Delivered
Gunar Cockshoot,99% Dark & Pure,UK,2023-12-19,45.0,2,Delivered
Dotty Strutley,Peanut Butter Cubes,India,2023-12-19,3291.75,150,Delivered
Ches Bonnell,Drinking Coco,India,2023-12-19,4765.5,596,Delivered
Barr Faughny,Smooth Silky Salty,UK,2023-12-19,4567.5,457,Delivered
Camilla Castle,Eclairs,UK,2023-12-19,7260.75,346,Cancelled
Marney O'Breen,Fruit & Nut Bars,USA,2023-12-19,8338.5,334,Delivered
Barr Faughny,70% Dark Bites,Canada,2023-12-19,1208.25,64,Delivered
Dotty Strutley,Mint Chip Choco,USA,2023-12-19,1991.25,143,Delivered
Van Tuxwell,Orange Choco,New Zealand,2023-12-19,12867.75,1430,Delivered
Oby Sorrel,Milk Bars,UK,2023-12-20,504.0,24,Delivered
Roddy Speechley,85% Dark Bars,New Zealand,2023-12-20,6363.0,255,Delivered
Husein Augar,Drinking Coco,Australia,2023-12-20,5222.25,436,Delivered
Barr Faughny,99% Dark & Pure,Australia,2023-12-20,5586.75,254,Delivered
Marney O'Breen,Raspberry Choco,Australia,2023-12-20,5337.0,593,Delivered
Van Tuxwell,Manuka Honey Choco,UK,2023-12-20,3111.75,149,Delivered
Marney O'Breen,Almond Choco,India,2023-12-20,2.25,1,Delivered
Curtice Advani,Choco Coated Almonds,India,2023-12-20,391.5,27,Delivered
Karlen McCaffrey,Smooth Silky Salty,Canada,2023-12-20,5395.5,771,Delivered
Madelene Upcott,Manuka Honey Choco,UK,2023-12-20,7186.5,400,Delivered
Wilone O'Kielt,Smooth Silky Salty,New Zealand,2023-12-21,3935.25,438,Delivered
Marney O'Breen,70% Dark Bites,Australia,2023-12-21,7085.25,355,Delivered
Jan Morforth,Drinking Coco,India,2023-12-21,6331.5,488,Delivered
Ches Bonnell,Orange Choco,UK,2023-12-21,14976.0,2140,Delivered
Ches Bonnell,Orange Choco,UK,2023-12-21,4506.75,752,Delivered
Wilone O'Kielt,Choco Coated Almonds,UK,2023-12-21,5195.25,473,Delivered
Andria Kimpton,Baker's Choco Chips,Australia,2023-12-21,6160.5,325,Delivered
Roddy Speechley,Orange Choco,India,2023-12-21,3750.75,376,Delivered
Husein Augar,Peanut Butter Cubes,UK,2023-12-21,6945.75,366,Delivered
Barr Faughny,Eclairs,India,2023-12-22,1212.75,64,Delivered
Ches Bonnell,Drinking Coco,USA,2023-12-22,5654.25,435,Delivered
Brien Boise,Raspberry Choco,New Zealand,2023-12-22,7753.5,1293,Delivered
Jehu Rudeforth,Eclairs,New Zealand,2023-12-22,2319.75,116,Delivered
Jehu Rudeforth,70% Dark Bites,UK,2023-12-22,4227.75,282,Delivered
Madelene Upcott,After Nines,UK,2023-12-22,12174.75,937,Delivered
Andria Kimpton,Choco Coated Almonds,USA,2023-12-22,3690.0,246,Delivered
Oby Sorrel,70% Dark Bites,UK,2023-12-22,2657.25,140,Delivered
Barr Faughny,Smooth Silky Salty,UK,2023-12-25,4416.75,553,Delivered
Marney O'Breen,Baker's Choco Chips,New Zealand,2023-12-25,6075.0,405,Delivered
Roddy Speechley,Fruit & Nut Bars,Canada,2023-12-25,5134.5,184,Delivered
Kelci Walkden,Baker's Choco Chips,UK,2023-12-25,2558.25,143,Delivered
Andria Kimpton,Drinking Coco,USA,2023-12-25,6219.0,622,Delivered
Beverie Moffet,Milk Bars,UK,2023-12-25,6246.0,347,Delivered
Oby Sorrel,Manuka Honey Choco,India,2023-12-25,4923.0,224,Delivered
Kelci Walkden,Drinking Coco,UK,2023-12-25,6027.75,603,Delivered
Roddy Speechley,Peanut Butter Cubes,Australia,2023-12-25,4644.0,194,Delivered
Husein Augar,White Choc,India,2023-12-25,3474.0,152,Delivered
Gunar Cockshoot,70% Dark Bites,USA,2023-12-25,13725.0,763,Delivered
Roddy Speechley,Orange Choco,Canada,2023-12-26,4628.25,515,Delivered
Roddy Speechley,Milk Bars,UK,2023-12-26,6376.5,336,Delivered
Gigi Bohling,Drinking Coco,UK,2023-12-26,4772.25,597,Delivered
Dotty Strutley,Peanut Butter Cubes,UK,2023-12-26,9830.25,492,Delivered
Beverie Moffet,Spicy Special Slims,UK,2023-12-26,812.25,48,Delivered
Karlen McCaffrey,Drinking Coco,UK,2023-12-26,4873.5,407,Delivered
Karlen McCaffrey,85% Dark Bars,Canada,2023-12-26,4135.5,160,Delivered
Wilone O'Kielt,99% Dark & Pure,USA,2023-12-26,5427.0,227,Delivered
Gigi Bohling,Drinking Coco,Australia,2023-12-26,5962.5,746,Delivered
Rafaelita Blaksland,50% Dark Bites,India,2023-12-26,2481.75,131,Delivered
Karlen McCaffrey,After Nines,UK,2023-12-26,8156.25,742,Delivered
Dennison Crosswaite,White Choc,New Zealand,2023-12-26,3073.5,140,Delivered
Madelene Upcott,Orange Choco,USA,2023-12-26,12291.75,2049,Delivered
Andria Kimpton,Eclairs,New Zealand,2023-12-26,2956.5,148,Delivered
Brien Boise,Choco Coated Almonds,Australia,2023-12-26,3852.0,351,Delivered
Madelene Upcott,Peanut Butter Cubes,USA,2023-12-26,8028.0,365,Delivered
Roddy Speechley,70% Dark Bites,UK,2023-12-27,6570.0,411,Delivered
Dotty Strutley,Eclairs,UK,2023-12-27,2796.75,156,Delivered
Barr Faughny,Drinking Coco,UK,2023-12-27,5179.5,432,Delivered
Dennison Crosswaite,Drinking Coco,Australia,2023-12-27,5022.0,558,Delivered
Karlen McCaffrey,70% Dark Bites,Australia,2023-12-27,3582.0,199,Delivered
Gigi Bohling,Choco Coated Almonds,UK,2023-12-27,7492.5,750,Delivered
Gunar Cockshoot,Choco Coated Almonds,New Zealand,2023-12-27,6466.5,647,Delivered
Wilone O'Kielt,White Choc,USA,2023-12-27,6480.0,260,Delivered
Van Tuxwell,Fruit & Nut Bars,USA,2023-12-27,11056.5,410,Delivered
Dotty Strutley,Choco Coated Almonds,New Zealand,2023-12-27,4968.0,414,Delivered
Gunar Cockshoot,Eclairs,Australia,2023-12-27,2304.0,110,Delivered
Kelci Walkden,Spicy Special Slims,USA,2023-12-27,3717.0,207,Delivered
Dennison Crosswaite,50% Dark Bites,USA,2023-12-27,2220.75,112,Delivered
Brien Boise,50% Dark Bites,UK,2023-12-27,1581.75,94,Delivered
Kelci Walkden,Fruit & Nut Bars,Australia,2023-12-27,8833.5,316,Delivered
Ches Bonnell,Drinking Coco,USA,2023-12-27,5703.75,439,Delivered
Beverie Moffet,Mint Chip Choco,India,2023-12-28,463.5,52,Delivered
Barr Faughny,Mint Chip Choco,UK,2023-12-28,3793.5,422,Delivered
Madelene Upcott,Mint Chip Choco,UK,2023-12-28,3674.25,307,Cancelled
Dotty Strutley,Manuka Honey Choco,USA,2023-12-28,7290.0,405,Delivered
Karlen McCaffrey,Caramel Stuffed Bars,USA,2023-12-28,13466.25,709,Delivered
Ches Bonnell,85% Dark Bars,Canada,2023-12-28,405.0,18,Delivered
Roddy Speechley,85% Dark Bars,Australia,2023-12-28,6315.75,275,Delivered
Brien Boise,Choco Coated Almonds,UK,2023-12-28,717.75,66,Delivered
Kelci Walkden,85% Dark Bars,UK,2023-12-28,2742.75,110,Delivered
Madelene Upcott,Raspberry Choco,UK,2023-12-28,3606.75,401,Delivered
Gunar Cockshoot,Organic Choco Syrup,UK,2023-12-29,19854.0,946,Delivered
Gigi Bohling,Spicy Special Slims,India,2023-12-29,4752.0,251,Cancelled
Kaine Padly,50% Dark Bites,USA,2023-12-29,3622.5,173,Delivered
Ches Bonnell,Eclairs,India,2023-12-29,8273.25,436,Delivered
Van Tuxwell,Peanut Butter Cubes,USA,2023-12-29,10707.75,447,Delivered
Roddy Speechley,50% Dark Bites,India,2023-12-29,6966.0,349,Delivered
Gunar Cockshoot,Organic Choco Syrup,New Zealand,2023-12-29,7238.25,381,Delivered
Curtice Advani,Drinking Coco,India,2023-12-29,4743.0,475,Delivered
Barr Faughny,Orange Choco,UK,2023-12-29,3219.75,537,Delivered
Dotty Strutley,Orange Choco,India,2023-12-29,8433.0,1205,Delivered
Van Tuxwell,Spicy Special Slims,Australia,2023-12-29,2079.0,104,Delivered
Andria Kimpton,Baker's Choco Chips,UK,2023-12-29,4619.25,308,Delivered
Rafaelita Blaksland,Peanut Butter Cubes,UK,2024-01-01,5674.5,237,Delivered
Beverie Moffet,Peanut Butter Cubes,USA,2024-01-01,7204.5,344,Delivered
Gunar Cockshoot,Spicy Special Slims,USA,2024-01-01,12408.75,828,Delivered
Curtice Advani,Raspberry Choco,Australia,2024-01-02,603.0,121,Delivered
Gunar Cockshoot,70% Dark Bites,USA,2024-01-02,5073.75,318,Delivered
Barr Faughny,Peanut Butter Cubes,India,2024-01-02,5789.25,290,Delivered
Jan Morforth,Choco Coated Almonds,India,2024-01-02,7449.75,497,Delivered
Marney O'Breen,Baker's Choco Chips,Canada,2024-01-02,2247.75,125,Delivered
Brien Boise,50% Dark Bites,UK,2024-01-02,8223.75,484,Delivered
Barr Faughny,99% Dark & Pure,UK,2024-01-02,1539.0,77,Cancelled
Jehu Rudeforth,Eclairs,Australia,2024-01-02,3809.25,191,Delivered
Gigi Bohling,Manuka Honey Choco,Australia,2024-01-02,1071.0,60,Delivered
Roddy Speechley,70% Dark Bites,India,2024-01-02,5314.5,355,Delivered
Kelci Walkden,Baker's Choco Chips,Canada,2024-01-02,5778.0,321,Delivered
Jehu Rudeforth,Manuka Honey Choco,UK,2024-01-03,13432.5,640,Delivered
Beverie Moffet,70% Dark Bites,India,2024-01-03,7074.0,393,Delivered
Gunar Cockshoot,Mint Chip Choco,USA,2024-01-03,126.0,10,Delivered
Husein Augar,Spicy Special Slims,USA,2024-01-03,1111.5,70,Delivered
Wilone O'Kielt,99% Dark & Pure,New Zealand,2024-01-03,11621.25,582,Delivered
Marney O'Breen,Smooth Silky Salty,UK,2024-01-03,6104.25,555,Delivered
Andria Kimpton,Choco Coated Almonds,USA,2024-01-03,4495.5,375,Delivered
Gunar Cockshoot,Orange Choco,UK,2024-01-03,11211.75,1602,Cancelled
Dennison Crosswaite,99% Dark & Pure,UK,2024-01-04,7173.0,359,Cancelled
Jan Morforth,Orange Choco,UK,2024-01-04,13425.75,1918,Delivered
Husein Augar,Organic Choco Syrup,USA,2024-01-04,3746.25,188,Delivered
Marney O'Breen,Mint Chip Choco,UK,2024-01-04,3973.5,332,Delivered
Gigi Bohling,Choco Coated Almonds,USA,2024-01-04,6075.0,468,Delivered
Kelci Walkden,50% Dark Bites,Canada,2024-01-04,7240.5,345,Delivered
Beverie Moffet,85% Dark Bars,India,2024-01-04,8453.25,353,Delivered
Wilone O'Kielt,Raspberry Choco,Australia,2024-01-04,3280.5,469,Delivered
Jehu Rudeforth,Baker's Choco Chips,UK,2024-01-04,11461.5,717,Delivered
Husein Augar,99% Dark & Pure,India,2024-01-04,2346.75,103,Delivered
Gunar Cockshoot,Eclairs,Australia,2024-01-04,1244.25,57,Delivered
Brien Boise,85% Dark Bars,UK,2024-01-05,409.5,18,Delivered
Gunar Cockshoot,Mint Chip Choco,UK,2024-01-05,3987.0,363,Delivered
Jehu Rudeforth,Peanut Butter Cubes,New Zealand,2024-01-05,7852.5,328,Delivered
Madelene Upcott,Milk Bars,New Zealand,2024-01-05,4988.25,238,Delivered
Madelene Upcott,Smooth Silky Salty,Australia,2024-01-05,7893.0,658,Delivered
Andria Kimpton,Smooth Silky Salty,USA,2024-01-05,4054.5,451,Delivered
Gunar Cockshoot,Orange Choco,Canada,2024-01-08,16002.0,2667,Delivered
Brien Boise,Drinking Coco,Canada,2024-01-08,5593.5,467,Delivered
Dotty Strutley,50% Dark Bites,UK,2024-01-08,4216.5,222,Delivered
Kelci Walkden,Drinking Coco,Australia,2024-01-08,5879.25,735,Delivered
Jan Morforth,Baker's Choco Chips,UK,2024-01-08,8178.75,409,Delivered
Andria Kimpton,Mint Chip Choco,Canada,2024-01-08,621.0,69,Delivered
Gigi Bohling,Fruit & Nut Bars,India,2024-01-08,5656.5,210,Delivered
Barr Faughny,Baker's Choco Chips,UK,2024-01-08,1019.25,60,Delivered
Husein Augar,70% Dark Bites,UK,2024-01-08,7749.0,485,Delivered
Dotty Strutley,Orange Choco,UK,2024-01-08,5919.75,658,Delivered
Dotty Strutley,Choco Coated Almonds,USA,2024-01-08,8626.5,863,Delivered
Jan Morforth,Organic Choco Syrup,New Zealand,2024-01-08,5175.0,273,Delivered
Beverie Moffet,Orange Choco,USA,2024-01-08,15156.0,2526,Delivered
Brien Boise,Spicy Special Slims,UK,2024-01-08,5177.25,288,Delivered
Barr Faughny,70% Dark Bites,USA,2024-01-08,2619.0,146,Delivered
Jan Morforth,Peanut Butter Cubes,Canada,2024-01-09,9391.5,470,Delivered
Gigi Bohling,70% Dark Bites,UK,2024-01-09,3726.0,249,Delivered
Gunar Cockshoot,Fruit & Nut Bars,New Zealand,2024-01-09,1320.75,51,Delivered
Andria Kimpton,Almond Choco,India,2024-01-09,8709.75,968,Delivered
Brien Boise,Mint Chip Choco,UK,2024-01-09,4338.0,310,Delivered
Jehu Rudeforth,Raspberry Choco,UK,2024-01-09,9596.25,960,Delivered
Marney O'Breen,Orange Choco,USA,2024-01-09,5724.0,573,Cancelled
Brien Boise,Manuka Honey Choco,UK,2024-01-09,585.0,31,Delivered
Ches Bonnell,Baker's Choco Chips,USA,2024-01-09,6349.5,353,Delivered
Oby Sorrel,Spicy Special Slims,UK,2024-01-09,2470.5,138,Delivered
Barr Faughny,Drinking Coco,USA,2024-01-09,6045.75,756,Delivered
Ches Bonnell,Peanut Butter Cubes,UK,2024-01-09,6219.0,328,Delivered
Beverie Moffet,Almond Choco,USA,2024-01-10,8435.25,844,Delivered
Van Tuxwell,Raspberry Choco,Australia,2024-01-10,24108.75,2679,Delivered
Brien Boise,Raspberry Choco,New Zealand,2024-01-10,5719.5,636,Delivered
Van Tuxwell,Mint Chip Choco,New Zealand,2024-01-10,81.0,7,Delivered
Karlen McCaffrey,50% Dark Bites,UK,2024-01-11,3791.25,181,Delivered
Ches Bonnell,Smooth Silky Salty,Canada,2024-01-11,13756.5,1376,Delivered
Marney O'Breen,Mint Chip Choco,USA,2024-01-11,2844.0,219,Delivered
Marney O'Breen,Raspberry Choco,India,2024-01-11,9758.25,1952,Delivered
Dennison Crosswaite,Fruit & Nut Bars,USA,2024-01-11,6369.75,245,Delivered
Ches Bonnell,Baker's Choco Chips,USA,2024-01-11,2796.75,140,Delivered
Gunar Cockshoot,Choco Coated Almonds,New Zealand,2024-01-11,1532.25,128,Delivered
Madelene Upcott,Choco Coated Almonds,USA,2024-01-11,3685.5,264,Delivered
Karlen McCaffrey,Eclairs,New Zealand,2024-01-11,6257.25,298,Delivered
Wilone O'Kielt,Choco Coated Almonds,UK,2024-01-11,3093.75,221,Delivered
Van Tuxwell,White Choc,USA,2024-01-11,7089.75,338,Delivered
Dennison Crosswaite,Smooth Silky Salty,UK,2024-01-11,5928.75,847,Delivered
Rafaelita Blaksland,50% Dark Bites,New Zealand,2024-01-11,11630.25,554,Delivered
Brien Boise,After Nines,UK,2024-01-11,5519.25,460,Delivered
Curtice Advani,Raspberry Choco,New Zealand,2024-01-11,10305.0,1145,Cancelled
Dotty Strutley,Smooth Silky Salty,UK,2024-01-12,3584.25,326,Delivered
Brien Boise,Eclairs,UK,2024-01-12,4509.0,238,Delivered
Ches Bonnell,50% Dark Bites,Australia,2024-01-12,6831.0,360,Delivered
Gunar Cockshoot,Organic Choco Syrup,India,2024-01-12,12534.75,627,Delivered
Jehu Rudeforth,Smooth Silky Salty,India,2024-01-12,2094.75,300,Delivered
Dotty Strutley,Spicy Special Slims,India,2024-01-12,2511.0,148,Delivered
Curtice Advani,Spicy Special Slims,UK,2024-01-12,14280.75,752,Delivered
Brien Boise,70% Dark Bites,New Zealand,2024-01-12,1210.5,61,Delivered
Roddy Speechley,Orange Choco,India,2024-01-12,2076.75,189,Cancelled
Gunar Cockshoot,70% Dark Bites,USA,2024-01-15,5582.25,294,Delivered
Madelene Upcott,Milk Bars,Australia,2024-01-15,963.0,54,Delivered
Marney O'Breen,Spicy Special Slims,USA,2024-01-15,4911.75,307,Delivered
Dennison Crosswaite,Peanut Butter Cubes,USA,2024-01-15,2929.5,140,Delivered
Madelene Upcott,Baker's Choco Chips,UK,2024-01-15,12109.5,757,Delivered
Gigi Bohling,99% Dark & Pure,UK,2024-01-15,11711.25,510,Delivered
Kelci Walkden,85% Dark Bars,UK,2024-01-15,4797.0,229,Delivered
Kelci Walkden,Manuka Honey Choco,UK,2024-01-15,8262.0,394,Cancelled
Rafaelita Blaksland,Choco Coated Almonds,USA,2024-01-16,2128.5,213,Delivered
Kelci Walkden,Peanut Butter Cubes,UK,2024-01-16,8034.75,366,Delivered
Jan Morforth,Choco Coated Almonds,Canada,2024-01-16,11058.75,1106,Delivered
Curtice Advani,Peanut Butter Cubes,New Zealand,2024-01-16,5483.25,275,Delivered
Wilone O'Kielt,70% Dark Bites,UK,2024-01-16,10482.75,656,Delivered
Oby Sorrel,Peanut Butter Cubes,USA,2024-01-16,5710.5,272,Delivered
Kelci Walkden,Raspberry Choco,UK,2024-01-16,7501.5,1072,Delivered
Dennison Crosswaite,99% Dark & Pure,India,2024-01-16,9652.5,439,Delivered
Andria Kimpton,Peanut Butter Cubes,USA,2024-01-16,3728.25,156,Delivered
Dotty Strutley,85% Dark Bars,India,2024-01-16,11391.75,439,Delivered
Brien Boise,Mint Chip Choco,UK,2024-01-16,4923.0,547,Delivered
Curtice Advani,Spicy Special Slims,UK,2024-01-16,2970.0,149,Delivered
Kelci Walkden,99% Dark & Pure,UK,2024-01-16,9947.25,453,Delivered
Jan Morforth,Peanut Butter Cubes,India,2024-01-16,8154.0,371,Delivered
Jehu Rudeforth,99% Dark & Pure,UK,2024-01-16,7553.25,378,Delivered
Van Tuxwell,Drinking Coco,India,2024-01-16,4725.0,364,Delivered
Gunar Cockshoot,Spicy Special Slims,Australia,2024-01-16,6574.5,387,Delivered
Curtice Advani,Spicy Special Slims,New Zealand,2024-01-16,5051.25,337,Delivered
Oby Sorrel,Choco Coated Almonds,UK,2024-01-16,2522.25,253,Delivered
Husein Augar,99% Dark & Pure,India,2024-01-16,2511.0,126,Delivered
Andria Kimpton,Smooth Silky Salty,USA,2024-01-16,6237.0,891,Delivered
Madelene Upcott,Organic Choco Syrup,India,2024-01-16,13630.5,682,Delivered
Gigi Bohling,Manuka Honey Choco,New Zealand,2024-01-17,1392.75,64,Delivered
Brien Boise,Eclairs,Canada,2024-01-17,4848.75,211,Delivered
Brien Boise,Eclairs,USA,2024-01-17,6302.25,275,Delivered
Dotty Strutley,Organic Choco Syrup,Australia,2024-01-17,5625.0,313,Delivered
Brien Boise,99% Dark & Pure,Australia,2024-01-17,3703.5,186,Delivered
Van Tuxwell,Mint Chip Choco,Australia,2024-01-17,1471.5,164,Delivered
Kelci Walkden,50% Dark Bites,Canada,2024-01-17,2007.0,106,Delivered
Madelene Upcott,Baker's Choco Chips,Australia,2024-01-18,11076.75,583,Delivered
Brien Boise,Choco Coated Almonds,UK,2024-01-18,6147.0,513,Delivered
Andria Kimpton,Fruit & Nut Bars,India,2024-01-18,7071.75,253,Delivered
Wilone O'Kielt,Baker's Choco Chips,UK,2024-01-18,8343.0,418,Delivered
Kelci Walkden,Eclairs,USA,2024-01-18,4801.5,209,Delivered
Beverie Moffet,50% Dark Bites,USA,2024-01-18,328.5,20,Delivered
Van Tuxwell,After Nines,UK,2024-01-18,6464.25,431,Delivered
Gigi Bohling,Peanut Butter Cubes,UK,2024-01-18,8986.5,409,Delivered
Madelene Upcott,Spicy Special Slims,New Zealand,2024-01-18,8019.0,446,Delivered
Oby Sorrel,Choco Coated Almonds,India,2024-01-18,6401.25,458,Delivered
Beverie Moffet,Drinking Coco,India,2024-01-18,4923.0,493,Delivered
Husein Augar,Baker's Choco Chips,India,2024-01-19,12017.25,601,Delivered
Gunar Cockshoot,Mint Chip Choco,Australia,2024-01-19,5499.0,611,Delivered
Madelene Upcott,Mint Chip Choco,Canada,2024-01-19,571.5,41,Cancelled
Van Tuxwell,85% Dark Bars,UK,2024-01-19,4583.25,191,Delivered
Beverie Moffet,85% Dark Bars,UK,2024-01-19,2270.25,95,Delivered
Beverie Moffet,Peanut Butter Cubes,UK,2024-01-19,7155.0,358,Delivered
Jehu Rudeforth,White Choc,Canada,2024-01-19,409.5,17,Delivered
Jehu Rudeforth,Eclairs,UK,2024-01-19,6018.75,262,Delivered
Marney O'Breen,85% Dark Bars,New Zealand,2024-01-19,6905.25,314,Delivered
Camilla Castle,Smooth Silky Salty,New Zealand,2024-01-19,1986.75,284,Cancelled
Barr Faughny,Choco Coated Almonds,USA,2024-01-19,5811.75,448,Delivered
Dotty Strutley,Drinking Coco,Australia,2024-01-19,4884.75,489,Delivered
Dennison Crosswaite,Organic Choco Syrup,UK,2024-01-22,4785.75,218,Delivered
Rafaelita Blaksland,Baker's Choco Chips,Australia,2024-01-22,9951.75,664,Delivered
Husein Augar,70% Dark Bites,UK,2024-01-22,618.75,33,Delivered
Dotty Strutley,70% Dark Bites,USA,2024-01-22,3125.25,209,Delivered
Husein Augar,70% Dark Bites,India,2024-01-22,3138.75,210,Delivered
Marney O'Breen,50% Dark Bites,India,2024-01-22,5438.25,303,Delivered
Beverie Moffet,Spicy Special Slims,Canada,2024-01-22,7148.25,358,Delivered
Madelene Upcott,Peanut Butter Cubes,UK,2024-01-22,4783.5,218,Delivered
Kaine Padly,Mint Chip Choco,UK,2024-01-22,148.5,15,Delivered
Kelci Walkden,Orange Choco,UK,2024-01-22,209.25,30,Delivered
Beverie Moffet,Organic Choco Syrup,Australia,2024-01-22,4430.25,193,Delivered
Barr Faughny,85% Dark Bars,USA,2024-01-22,1919.25,80,Cancelled
Gunar Cockshoot,Choco Coated Almonds,USA,2024-01-22,10656.0,820,Delivered
Rafaelita Blaksland,Fruit & Nut Bars,Australia,2024-01-23,1953.0,85,Cancelled
Jan Morforth,Choco Coated Almonds,India,2024-01-23,5150.25,430,Delivered
Dotty Strutley,Raspberry Choco,Canada,2024-01-23,13754.25,2293,Delivered
Kelci Walkden,70% Dark Bites,Canada,2024-01-23,9011.25,601,Delivered
Roddy Speechley,Drinking Coco,USA,2024-01-23,5490.0,549,Delivered
Camilla Castle,Baker's Choco Chips,India,2024-01-23,15117.75,890,Delivered
Madelene Upcott,99% Dark & Pure,Australia,2024-01-23,801.0,39,Delivered
Karlen McCaffrey,Drinking Coco,USA,2024-01-23,4995.0,385,Delivered
Oby Sorrel,Raspberry Choco,USA,2024-01-23,19410.75,2773,Delivered
Marney O'Breen,Baker's Choco Chips,UK,2024-01-24,1559.25,92,Delivered
Karlen McCaffrey,Eclairs,UK,2024-01-24,6216.75,297,Delivered
Madelene Upcott,Raspberry Choco,India,2024-01-24,5179.5,1036,Delivered
Husein Augar,Orange Choco,USA,2024-01-24,2227.5,279,Delivered
Jehu Rudeforth,Eclairs,UK,2024-01-24,6543.0,364,Delivered
Brien Boise,99% Dark & Pure,UK,2024-01-24,1680.75,85,Delivered
Barr Faughny,Smooth Silky Salty,UK,2024-01-24,9798.75,1400,Delivered
